date,title,thematic_area_id,project_status_id,evaluation_criteria
2025-04-22 14:03:17,Trazabilidad de productos agricolas mediante blockchain,2,1,
2025-02-13 09:27:45,Sistema inteligente para deteccion de emociones en llamadas de servicio al cliente,6,2,
2025-06-30 18:41:02,Desarrollo de una aplicacion movil para monitoreo de cultivos en zonas rurales,11,3,
2025-01-05 22:15:33,Algoritmo predictivo para mantenimiento preventivo en maquinaria industrial,16,4,
2025-03-18 07:56:10,Optimizacion de rutas de entrega utilizando redes neuronales,21,5,
2025-05-11 12:29:44,Implementacion de gemelos digitales en procesos logisticos,16,1,
2025-07-09 20:45:01,Analisis forense de ciberataques con herramientas de codigo abierto,31,2,
2025-02-27 03:14:38,Modelo de prediccion de abandono escolar basado en machine learning,36,3,
2025-06-05 16:22:59,Plataforma web para la gestion de residuos solidos urbanos,46,4,
2025-03-01 10:08:23,Sistema de recomendacion de cursos personalizados con inteligencia artificial,51,5,
2026-02-01 08:34:12,Sistema Inteligente de Gestion de Ideas ABI,15,1,
2026-02-03 14:12:45,Plataforma Web para Seguimiento de Semilleros,7,2,
2026-02-05 10:27:33,Aplicacion Movil para Gestion de Practicas Profesionales,7,4,
2026-02-07 16:48:09,Modelo Predictivo de Desercion Estudiantil,13,3,
2026-02-09 09:15:54,Sistema Automatizado de Evaluacion Docente,59,6,
2026-02-10 18:03:21,Dashboard Analitico de Indicadores Academicos,13,5,
2025-05-22 14:03:17,Trazabilidad de productos agricolas mediante blockchain v2,2,1,
2025-03-15 09:27:45,Sistema inteligente para deteccion de emociones en llamadas de servicio al cliente v2,6,2,
2025-07-30 18:41:02,Desarrollo de una aplicacion movil para monitoreo de cultivos en zonas rurales v2,11,3,
2025-02-04 22:15:33,Algoritmo predictivo para mantenimiento preventivo en maquinaria industrial v2,16,4,
2025-04-17 07:56:10,Optimizacion de rutas de entrega utilizando redes neuronales v2,21,5,
2025-06-10 12:29:44,Implementacion de gemelos digitales en procesos logisticos v2,16,1,
2025-08-08 20:45:01,Analisis forense de ciberataques con herramientas de codigo abierto v2,31,2,
2025-03-29 03:14:38,Modelo de prediccion de abandono escolar basado en machine learning v2,36,3,
2025-07-05 16:22:59,Plataforma web para la gestion de residuos solidos urbanos v2,46,4,
2025-03-31 10:08:23,Sistema de recomendacion de cursos personalizados con inteligencia artificial v2,51,5,
2026-03-03 08:34:12,Sistema Inteligente de Gestion de Ideas ABI v2,15,1,
2026-03-05 14:12:45,Plataforma Web para Seguimiento de Semilleros v2,7,2,
2026-03-07 10:27:33,Aplicacion Movil para Gestion de Practicas Profesionales v2,7,4,
2026-03-09 16:48:09,Modelo Predictivo de Desercion Estudiantil v2,13,3,
2026-03-11 09:15:54,Sistema Automatizado de Evaluacion Docente v2,59,6,
2026-03-12 18:03:21,Dashboard Analitico de Indicadores Academicos v2,13,5,
